ixdat version = 0.2.0dev
name = extended_platinum_ec
technique = EC
tstamp = 1580466722.0
backend_name = BackendBase(none, address=none)
id = 11
timecol 'time/s' for: '$U_{RHE}$ / [V]' and 'raw_current' and 'selector'
aliases = {"t": ["time/s"], "raw_potential": ["$U_{RHE}$ / [V]"], "raw_current": ["raw_current"], "selector": ["selector"]}
N_header_lines = 11

time/s,	$U_{RHE}$ / [V],	raw_current,	selector
16000.46835231781,	1.862848,	0.050015192,	0
16000.96835231781,	1.8626953999999998,	0.050014555,	0
16001.46835231781,	1.8636875000000002,	0.050022192,	0
16001.96835231781,	1.8634966,	0.050015826,	0
16002.46835231781,	1.8636684,	0.050018374,	0
16002.96835231781,	1.8640689999999998,	0.050020281,	0
16003.46835231781,	1.8638019,	0.050012648,	0
16003.96835231781,	1.8640880000000002,	0.05000883,	0
16004.46835231781,	1.8644696,	0.050004374,	0
16004.96835231781,	1.8643551999999999,	0.049998019,	0
16005.46835231781,	1.8635156999999998,	0.050015192,	0
16005.96835231781,	1.8635920000000001,	0.050002467,	0
16006.46835231781,	1.8637066,	0.049999289,	0
16006.96835231781,	1.8642024999999998,	0.049997378,	0
16007.46835231781,	1.8641643,	0.050006285,	0
16007.96835231781,	1.8643551999999999,	0.050009467,	0
16008.46835231781,	1.8646984999999998,	0.050003104,	0
16008.96835231781,	1.8648892,	0.050011374,	0
16009.46835231781,	1.8642024999999998,	0.050012011,	0
16009.96835231781,	1.8638781999999998,	0.050013918,	0
16010.46835231781,	1.8629816,	0.050015192,	0
16010.96835231781,	1.8632868,	0.050022826,	0
16011.46835231781,	1.8632105,	0.050012648,	0
16011.96835231781,	1.8631533,	0.050015826,	0
16012.46835231781,	1.8622567,	0.050016467,	0
16012.96835231781,	1.8630198,	0.050017737,	0
16013.46835231781,	1.8624855999999999,	0.050020918,	0
16013.96835231781,	1.8633250000000001,	0.050022192,	0
16014.46835231781,	1.8632296,	0.050010741,	0
16014.96835231781,	1.8636875000000002,	0.0500171,	0
16015.46835231781,	1.8636303,	0.050019011,	0
16015.96835231781,	1.8638781999999998,	0.050012011,	0
16016.46835231781,	1.8638019,	0.050006922,	0
16016.968352079391,	1.8640880000000002,	0.050012648,	0
16017.468352079391,	1.8643169,	0.050002467,	0
16017.968352079391,	1.8640499,	0.050006922,	0
16018.468352079391,	1.8646984999999998,	0.050002467,	0
16018.968352079391,	1.8641451999999998,	0.050003745,	0
16019.468352079391,	1.8646031,	0.050004374,	0
16019.968352079391,	1.8644696,	0.0500101,	0
16020.468352079391,	1.8650419,	0.050013918,	0
16020.968352079391,	1.8641261999999998,	0.050010741,	0
16021.468352079391,	1.8647748000000002,	0.050013918,	0
16021.968352079391,	1.8641451999999998,	0.050020918,	0
16022.468352079391,	1.8637066,	0.050011374,	0
