ixdat version = 0.2.5
name = C:\Users\scott\Dropbox\ixdat_resources\test_data\sec\test-7SEC.csv
technique = EC-Optical
tstamp = 1
backend_name = BackendBase(none, address=none)
id = 1
timecol 'time from scan rate' for: '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]' and 'selector'
aliases = {"raw_potential": ["$U_{RHE}$ / [V]"], "raw_current": ["J / [mA cm$^{-2}$]"], "t": ["time from scan rate"]}
'spectrum_series' in file: 'exported_sec_spectra.csv'
'reference_spectrum' in file: 'exported_sec_reference.csv'
N_header_lines = 13

time from scan rate,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	selector
0.0,	0.66,	-2.58e-05,	0
1.0,	0.661,	0.0166759,	0
2.0000000000000004,	0.662,	0.0177077,	0
3.000000000000001,	0.663,	0.0177202,	0
4.000000000000001,	0.664,	0.0176703,	0
5.000000000000001,	0.665,	0.0181443,	0
6.000000000000002,	0.666,	0.0181193,	0
7.000000000000002,	0.667,	0.0184187,	0
8.000000000000002,	0.6679999999999999,	0.018256500000000002,	0
9.000000000000002,	0.669,	0.018643200000000002,	0
10.000000000000002,	0.6699999999999999,	0.0187429,	0
11.000000000000002,	0.671,	0.018505999999999998,	0
12.000000000000004,	0.6719999999999999,	0.0189799,	0
13.000000000000004,	0.673,	0.018830200000000002,	0
14.000000000000004,	0.6739999999999999,	0.0188552,	0
15.000000000000004,	0.675,	0.0192668,	0
16.000000000000004,	0.6759999999999999,	0.0189799,	0
17.000000000000004,	0.677,	0.019528700000000003,	0
18.000000000000004,	0.6779999999999999,	0.0196035,	0
19.000000000000004,	0.679,	0.0195162,	0
20.000000000000004,	0.6799999999999999,	0.019865400000000002,	0
21.000000000000004,	0.681,	0.020065,	0
22.000000000000004,	0.6819999999999999,	0.0198904,	0
23.000000000000004,	0.683,	0.0203394,	0
24.000000000000007,	0.6839999999999999,	0.0199527,	0
25.000000000000007,	0.685,	0.020439199999999998,	0
26.000000000000007,	0.6859999999999999,	0.020364300000000002,	0
27.000000000000007,	0.687,	0.0202521,	0
28.000000000000007,	0.688,	0.020726,	0
29.000000000000007,	0.6890000000000001,	0.0207884,	0
30.000000000000007,	0.69,	0.0208757,	0
31.000000000000007,	0.6910000000000001,	0.020613799999999998,	0
32.00000000000001,	0.692,	0.0211875,	0
33.00000000000001,	0.6930000000000001,	0.0208757,	0
34.00000000000001,	0.694,	0.0212748,	0
35.00000000000001,	0.6950000000000001,	0.0214619,	0
36.00000000000001,	0.696,	0.0215118,	0
37.00000000000001,	0.6970000000000001,	0.0216365,	0
38.00000000000001,	0.698,	0.0217986,	0
39.00000000000001,	0.6990000000000001,	0.0215616,	0
40.00000000000001,	0.7,	0.0222227,	0
41.00000000000001,	0.7010000000000001,	0.022110400000000002,	0
42.00000000000001,	0.702,	0.0222975,	0
43.00000000000001,	0.7030000000000001,	0.0222102,	0
44.00000000000001,	0.704,	0.0225345,	0
45.00000000000001,	0.7050000000000001,	0.022185299999999998,	0
46.00000000000001,	0.706,	0.022734,	0
47.00000000000001,	0.7070000000000001,	0.0224472,	0
48.000000000000014,	0.708,	0.0228588,	0
49.000000000000014,	0.7090000000000001,	0.022971000000000002,	0
50.000000000000014,	0.71,	0.023257899999999998,	0
51.000000000000014,	0.7110000000000001,	0.023469900000000002,	0
52.000000000000014,	0.712,	0.0231331,	0
53.000000000000014,	0.7130000000000001,	0.023507300000000002,	0
54.000000000000014,	0.714,	0.0235447,	0
55.000000000000014,	0.7150000000000001,	0.0235946,	0
56.000000000000014,	0.716,	0.0237942,	0
57.000000000000014,	0.7170000000000001,	0.023582099999999998,	0
58.000000000000014,	0.718,	0.024106,	0
59.000000000000014,	0.7190000000000001,	0.0238815,	0
60.000000000000014,	0.72,	0.0242556,	0
61.000000000000014,	0.7210000000000001,	0.0242806,	0
62.000000000000014,	0.722,	0.0246672,	0
63.000000000000014,	0.7230000000000001,	0.0243429,	0
64.00000000000001,	0.724,	0.0248044,	0
65.00000000000001,	0.7250000000000001,	0.024766999999999997,	0
66.00000000000001,	0.726,	0.0248418,	0
67.00000000000001,	0.7270000000000001,	0.025041400000000002,	0
68.00000000000001,	0.728,	0.024941599999999998,	0
69.00000000000001,	0.729,	0.0252784,	0
70.00000000000001,	0.73,	0.0248543,	0
71.00000000000001,	0.731,	0.025627599999999997,	0
72.00000000000001,	0.732,	0.0254405,	0
73.00000000000001,	0.733,	0.025789700000000002,	0
74.00000000000001,	0.734,	0.0256775,	0
75.00000000000001,	0.735,	0.025477899999999998,	0
76.00000000000001,	0.736,	0.025902,	0
77.00000000000001,	0.737,	0.0260516,	0
78.00000000000001,	0.738,	0.026014199999999998,	0
79.00000000000001,	0.739,	0.0261265,	0
80.00000000000001,	0.74,	0.026226199999999998,	0
81.00000000000001,	0.741,	0.0262387,	0
82.00000000000001,	0.742,	0.026687699999999998,	0
83.00000000000001,	0.743,	0.0264757,	0
84.00000000000001,	0.744,	0.0265879,	0
85.00000000000001,	0.745,	0.0269496,	0
86.00000000000001,	0.746,	0.026775,	0
87.00000000000001,	0.747,	0.026999500000000003,	0
